f00_lang_qn,wave,f01_transit,f01_shop,f01_time_ff,f01_time_al,f01_eat_pic,f01_eat_caf,f01_sport,f01_pet,f01_sight,f01_cultural,f01_political,f01_parking,f01_other,f02_time_level,f02_time,f03_rel_level,f03_rel,f04_walk,f04_bike,f04_scooter,f04_bus,f04_tram,f04_train,f04_car,f04_taxi,f04_other,f05_last_trans_level,f05_last_trans,f06_freq_level,f06_freq,f09_stranger_level,f09_stranger,f10_year,f12_adult,f12_kids,f13_occ1_level,f13_occ1,f14_mainlang1_level,f14_mainlang1,f15_country_grp_level,f15_country_grp,f16_edu_level,f16_edu,f17_rev_level,f17_rev,f18_gender_level,f18_gender,f19_alone,f19_partner,f19_kids,f19_friend,f19_other,f20_square,datetime,wday,timeslot,f23_interviewer,age,hh_size,group_size
de,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,1,0,0,0,0,1,0,0,0,1,walk,2,several times a week,1,nobody,1980,1,NA,1,full-time,3,English,5,Other,5,higher ed,2,3-6'000,1,female,2,NA,NA,NA,NA,Hallwylplatz,2021-06-15T13:20:00Z,3,12-14,I_6,41,1,1
de,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,3,employed nearby,1,0,0,0,0,0,0,0,1,NA,NA,1,(almost) everyday,3,"yes, known",1981,2,1,1,full-time,1,Swiss-German,1,Switzerland,6,university,7,doesn't know,2,male,2,NA,NA,NA,NA,Hallwylplatz,2021-06-15T09:00:00Z,3,8-10,I_3,40,3,1
en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,0,0,0,0,0,0,1,0,0,7,car,4,several times a year,1,nobody,1978,2,NA,1,full-time,10,other,4,Eastern Europe,6,university,7,doesn't know,1,female,2,NA,NA,NA,NA,Lindenplatz,2021-06-24T09:10:00Z,5,8-10,I_5,43,2,1
de,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,0,0,0,0,0,0,0,1,0,8,taxi,4,several times a year,1,nobody,1968,2,2,1,full-time,2,Standard German,2,N/W/Central Europe,6,university,6,>15'000,2,male,2,NA,NA,NA,NA,Lindenplatz,2021-09-07T16:20:00Z,3,16-18,I_3,53,4,1
de,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,20-29min,4,student nearby,1,0,0,1,0,1,0,0,0,1,walk,3,several times a month,1,nobody,2005,2,3,3,edu,1,Swiss-German,1,Switzerland,2,compulsory,5,12-15'000,2,male,1,NA,NA,3,NA,Idaplatz,2021-06-22T12:42:00Z,3,12-14,I_4,16,5,4
de,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,60min+,NA,NA,0,0,0,0,0,0,1,0,0,7,car,4,several times a year,1,nobody,1950,2,NA,6,retired,1,Swiss-German,1,Switzerland,6,university,3,6-9'000,2,male,1,NA,NA,NA,1,Idaplatz,2021-09-02T17:30:00Z,5,16-18,I_5,71,2,2
de,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,1,0,0,0,0,0,0,0,0,1,walk,5,never,NA,NA,2002,4,NA,3,edu,1,Swiss-German,1,Switzerland,2,compulsory,3,6-9'000,2,male,1,NA,NA,1,NA,Hallwylplatz,2021-08-31T16:30:00Z,3,16-18,I_3,19,4,2
de,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10-19min,5,visitor,1,0,0,1,0,0,0,0,0,1,walk,4,several times a year,1,nobody,1986,2,2,5,housewife,2,Standard German,2,N/W/Central Europe,6,university,5,12-15'000,1,female,2,NA,NA,NA,NA,Idaplatz,2021-09-02T12:50:00Z,5,12-14,I_5,35,4,1
de,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,20-29min,4,student nearby,1,0,0,1,0,1,0,0,0,1,walk,3,several times a month,1,nobody,2005,3,2,3,edu,2,Standard German,2,N/W/Central Europe,2,compulsory,NA,NA,2,male,1,NA,NA,3,NA,Idaplatz,2021-06-22T12:42:00Z,3,12-14,I_4,16,5,4
de,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,1,0,0,1,0,1,0,0,0,1,walk,5,never,NA,NA,1935,2,NA,6,retired,1,Swiss-German,1,Switzerland,3,apprenticeship,3,6-9'000,2,male,1,1,NA,NA,NA,Lindenplatz,2021-09-11T15:00:00Z,7,14-16,I_3,86,2,2
